name,year,month,windspeed_mph,pressure_mbar,decade
Hurricane Ella,1978,August,140,956,decade_1971
Hurricane Greta,1978,September,130,947,decade_1971
Hurricane Frederic,1979,August,130,943,decade_1971
Hurricane Harvey,1981,September,130,946,decade_1981
Hurricane Debby,1982,September,130,950,decade_1981
Hurricane Diana,1984,September,130,949,decade_1981
Hurricane Gloria,1985,September,145,919,decade_1981
Hurricane Helene,1988,September,145,938,decade_1981
Hurricane Joan,1988,October,145,932,decade_1981
Hurricane Gabrielle,1989,August,145,935,decade_1981
Hurricane Claudette,1991,September,130,943,decade_1991
Hurricane Felix,1995,August,140,929,decade_1991
Hurricane Luis,1995,August,140,935,decade_1991
Hurricane Opal,1995,September,150,916,decade_1991
Hurricane Edouard,1996,August,145,933,decade_1991
Hurricane Hortense,1996,September,140,935,decade_1991
Hurricane Georges,1998,September,155,937,decade_1991
Hurricane Bret,1999,August,145,944,decade_1991
Hurricane Cindy,1999,August,140,942,decade_1991
Hurricane Floyd,1999,September,155,921,decade_1991
Hurricane Gert,1999,September,150,930,decade_1991
Hurricane Lenny,1999,November,155,933,decade_1991
Hurricane Isaac,2000,September,140,943,decade_1991
Hurricane Keith,2000,September,140,939,decade_1991
